separate_mechanism	mover_ch	motion_en	time	date	mover_en	type	motion_ch	vote_number
Yes	郭偉強	"AMENDMENT BY HON KWOK WAI-KEUNG TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"""	20:35:36	28/11/2012	KWOK Wai-keung	Member	郭偉強議員對陳克勤議員的「關注青年人面對的學業、就業、住屋置業和創業問題」議案作出的修正案	[u'1']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON FREDERICK FUNG'S MOTION ON ""RAISING THE MINIMUM WAGE LEVEL TO $33 OR ABOVE PER HOUR"""	17:46:41	31/10/2012	Cyd HO	Member	何秀蘭議員對馮檢基議員的「調升最低工資水平至時薪33元或以上」議案作出的修正案	[u'1']
Yes	黃毓民	"MOTION ON ""VOTE OF NO CONFIDENCE IN THE SECRETARY FOR DEVELOPMENT AND THE SECRETARY FOR EDUCATION"""	17:32:53	14/11/2012	WONG Yuk-man	Member	「對發展局局長及教育局局長投不信任票」議案	[u'1']
Yes	陳家洛	"AMENDMENT BY DR HON KENNETH CHAN TO HON IP KIN-YUEN'S MOTION ON ""URGING THE GOVERNMENT TO WITHDRAW THE CURRICULUM GUIDE OF MORAL AND NATIONAL EDUCATION SUBJECT AND REQUESTING THE SECRETARY FOR EDUCATION, MR EDDIE NG, TO STEP DOWN"""	19:37:53	17/10/2012	Dr Kenneth CHAN	Member	陳家洛議員對葉建源議員的「促請政府撤回'德育及國民教育科'課程指引及要求教育局局長吳克儉先生下台」議案作出的修正案	[u'1']
Yes	陳婉嫻	"AMENDMENT BY HON CHAN YUEN-HAN TO HON LEUNG KWOK-HUNG'S MOTION ON ""BUYING BACK THE SHARES OF THE LINK"""	18:05:33	21/11/2012	CHAN Yuen-han	Member	陳婉嫻議員對梁國雄議員的「回購領匯股份」議案作出的修正案	[u'1']
Yes	葉劉淑儀	"AMENDMENT BY HON MRS REGINA IP TO HON CYD HO'S MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:39:55	07/11/2012	Mrs Regina IP	Member	葉劉淑儀議員對何秀蘭議員的「同志平權」議案作出的修正案	[u'1']
Yes	陳偉業	PROPOSED RESOLUTION UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE	18:18:10	05/12/2012	Albert CHAN	Member	根據《立法會（權力及特權）條例》動議的擬議決議案	[u'1']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:06:10	24/10/2012	Frederick FUNG	Member	馮檢基議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'1']
Yes	方剛	"AMENDMENT BY HON VINCENT FANG TO DR HON JOSEPH LEE'S MOTION ON ""URGING THE GOVERNMENT TO REGULATE HEALTH FOOD PRODUCTS"" AS AMENDED BY HON ALICE MAK"	18:07:33	12/12/2012	Vincent FANG	Member	方剛議員對李國麟議員就「促請政府規管保健食品」所提，經麥美娟議員修正的議案，作出的修正案	[u'1']
Yes	張國柱	"AMENDMENT BY HON CHEUNG KWOK-CHE TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"""	20:38:38	28/11/2012	CHEUNG Kwok-che	Member	張國柱議員對陳克勤議員的「關注青年人面對的學業、就業、住屋置業和創業問題」議案作出的修正案	[u'2']
